mean_age (kr BP),deltaD,d18O,,high end T,low end T,,,precipitation_temperature,d18O_permil
35.4442,-435.43,-55.253571,,-55.106848,-55.400295,,,,
35.7602,-436.67,-55.40119,,-55.254467,-55.547914,,,,
36.0813,-437.91,-55.54881,,-55.402086,-55.695533,,,,
36.39865,-435.79,-55.296429,,-55.149705,-55.443152,,,,
36.7175,-436.7,-55.404762,,-55.258038,-55.551486,,,,
37.0297,-431.8,-54.821429,,-54.674705,-54.968152,,,,
37.32585,-429.71,-54.572619,,-54.425895,-54.719343,,,,
37.6065,-422.69,-53.736905,,-53.590181,-53.883629,,,,
37.888,-429.23,-54.515476,,-54.368752,-54.6622,,,,
38.1756,-427.01,-54.25119,,-54.104467,-54.397914,,,,
38.462,-428.13,-54.384524,,-54.2378,-54.531248,,,,
38.75265,-429.96,-54.602381,,-54.455657,-54.749105,,,,
39.0628,-436.94,-55.433333,,-55.286609,-55.580057,,,,
39.3998,-439.01,-55.679762,,-55.533038,-55.826486,,,,
39.73805,-435.83,-55.30119,,-55.154467,-55.447914,,,,
40.07405,-436.29,-55.355952,,-55.209228,-55.502676,,,,
40.42715,-439.01,-55.679762,,-55.533038,-55.826486,,,,
40.77695,-433.14,-54.980952,,-54.834228,-55.127676,,,,
41.11305,-436.27,-55.353571,,-55.206848,-55.500295,,,,
41.46315,-440.27,-55.829762,,-55.683038,-55.976486,,,,
41.8213,-437.61,-55.513095,,-55.366371,-55.659819,,,,
42.15615,-435.24,-55.230952,,-55.084228,-55.377676,,,,
42.4728,-430.01,-54.608333,,-54.461609,-54.755057,,,,
42.80075,-431.91,-54.834524,,-54.6878,-54.981248,,,,
43.14855,-434.8,-55.178571,,-55.031848,-55.325295,,,,
43.49745,-438.2,-55.583333,,-55.436609,-55.730057,,,,
43.83125,-437.13,-55.455952,,-55.309228,-55.602676,,,,
44.1572,-435.38,-55.247619,,-55.100895,-55.394343,,,,
44.4759,-431.54,-54.790476,,-54.643752,-54.9372,,,,
44.7794,-427.74,-54.338095,,-54.191371,-54.484819,,,,
45.0652,-425.2,-54.035714,,-53.88899,-54.182438,,,,
45.34305,-422.31,-53.691667,,-53.544943,-53.838391,,,,
45.61715,-421.87,-53.639286,,-53.492562,-53.78601,,,,
45.888,-420.64,-53.492857,,-53.346133,-53.639581,,,,
46.1703,-426.87,-54.234524,,-54.0878,-54.381248,,,,
46.4633,-426.75,-54.220238,,-54.073514,-54.366962,,,,
46.7624,-428.57,-54.436905,,-54.290181,-54.583629,,,,
47.08025,-434.26,-55.114286,,-54.967562,-55.26101,,,,
47.40755,-433.1,-54.97619,,-54.829467,-55.122914,,,,
47.73395,-434.46,-55.138095,,-54.991371,-55.284819,,,,
48.0609,-432.6,-54.916667,,-54.769943,-55.063391,,,,
48.3903,-434.55,-55.14881,,-55.002086,-55.295533,,,,
48.71695,-430.93,-54.717857,,-54.571133,-54.864581,,,,
49.0355,-431.63,-54.80119,,-54.654467,-54.947914,,,,
49.3525,-430.34,-54.647619,,-54.500895,-54.794343,,,,
49.67005,-431.57,-54.794048,,-54.647324,-54.940772,,,,
49.99005,-431.76,-54.816667,,-54.669943,-54.963391,,,,
50.3069,-428.62,-54.442857,,-54.296133,-54.589581,,,,
50.6139,-428.11,-54.382143,,-54.235419,-54.528867,,,,
50.9109,-424.26,-53.92381,,-53.777086,-54.070533,,,,
51.2085,-426.9,-54.238095,,-54.091371,-54.384819,,,,
51.5064,-423.52,-53.835714,,-53.68899,-53.982438,,,,
51.7983,-424.31,-53.929762,,-53.783038,-54.076486,,,,
52.0805,-418.6,-53.25,,-53.103276,-53.396724,,,,
52.3682,-426.33,-54.170238,,-54.023514,-54.316962,,,,
52.66985,-425.17,-54.032143,,-53.885419,-54.178867,,,,
52.972,-425.59,-54.082143,,-53.935419,-54.228867,,,,
53.2886,-432.05,-54.85119,,-54.704467,-54.997914,,,,
53.60785,-427.04,-54.254762,,-54.108038,-54.401486,,,,
53.9208,-428.69,-54.45119,,-54.304467,-54.597914,,,,
54.2463,-431.83,-54.825,,-54.678276,-54.971724,,,,
54.58505,-434.26,-55.114286,,-54.967562,-55.26101,,,,
54.92145,-430.36,-54.65,,-54.503276,-54.796724,,,,
55.24585,-429.02,-54.490476,,-54.343752,-54.6372,,,,
55.55615,-424.81,-53.989286,,-53.842562,-54.13601,,,,
55.8552,-423.65,-53.85119,,-53.704467,-53.997914,,,,
56.1566,-424.34,-53.933333,,-53.786609,-54.080057,,,,
56.4612,-425.1,-54.02381,,-53.877086,-54.170533,,,,
56.756,-420.24,-53.445238,,-53.298514,-53.591962,,,,
57.04045,-419.97,-53.413095,,-53.266371,-53.559819,,,,
57.32855,-421.63,-53.610714,,-53.46399,-53.757438,,,,
57.6231,-421.59,-53.605952,,-53.459228,-53.752676,,,,
57.92395,-424.48,-53.95,,-53.803276,-54.096724,,,,
58.22965,-423.76,-53.864286,,-53.717562,-54.01101,,,,
58.5462,-428.73,-54.455952,,-54.309228,-54.602676,,,,
58.87165,-427.67,-54.329762,,-54.183038,-54.476486,,,,
59.1976,-428.02,-54.371429,,-54.224705,-54.518152,,,,
59.5287,-429.61,-54.560714,,-54.41399,-54.707438,,,,
59.86925,-431.78,-54.819048,,-54.672324,-54.965772,,,,
60.22425,-434.73,-55.170238,,-55.023514,-55.316962,,,,
60.59335,-437.01,-55.441667,,-55.294943,-55.588391,,,,
60.97455,-438.3,-55.595238,,-55.448514,-55.741962,,,,
61.37215,-442.67,-56.115476,,-55.968752,-56.2622,,,,
61.76645,-437.38,-55.485714,,-55.33899,-55.632438,,,,
62.1391,-434.3,-55.119048,,-54.972324,-55.265772,,,,
62.5179,-438.53,-55.622619,,-55.475895,-55.769343,,,,
62.91515,-440.55,-55.863095,,-55.716371,-56.009819,,,,
63.31265,-438.62,-55.633333,,-55.486609,-55.780057,,,,
63.7145,-441.4,-55.964286,,-55.817562,-56.11101,,,,
64.1311,-443.41,-56.203571,,-56.056848,-56.350295,,,,
64.54825,-442.02,-56.038095,,-55.891371,-56.184819,,,,
64.96035,-441.36,-55.959524,,-55.8128,-56.106248,,,,
65.3751,-442.33,-56.075,,-55.928276,-56.221724,,,,
65.7846,-439.38,-55.72381,,-55.577086,-55.870533,,,,
66.19095,-441.25,-55.946429,,-55.799705,-56.093152,,,,
66.5896,-436.18,-55.342857,,-55.196133,-55.489581,,,,
66.996,-443.29,-56.189286,,-56.042562,-56.33601,,,,
67.412,-439.67,-55.758333,,-55.611609,-55.905057,,,,
67.8054,-434.37,-55.127381,,-54.980657,-55.274105,,,,
68.17285,-430.15,-54.625,,-54.478276,-54.771724,,,,
68.5132,-423.4,-53.821429,,-53.674705,-53.968152,,,,
68.84485,-424.84,-53.992857,,-53.846133,-54.139581,,,,
69.1868,-427.79,-54.344048,,-54.197324,-54.490772,,,,
69.5375,-428.49,-54.427381,,-54.280657,-54.574105,,,,
69.8979,-431.37,-54.770238,,-54.623514,-54.916962,,,,
70.2805,-437.1,-55.452381,,-55.305657,-55.599105,,,,
70.6709,-434.6,-55.154762,,-55.008038,-55.301486,,,,
71.04095,-429,-54.488095,,-54.341371,-54.634819,,,,
71.3938,-427.48,-54.307143,,-54.160419,-54.453867,,,,
71.7295,-422.76,-53.745238,,-53.598514,-53.891962,,,,
72.04915,-419.96,-53.411905,,-53.265181,-53.558629,,,,
72.35885,-416.41,-52.989286,,-52.842562,-53.13601,,,,
72.6755,-422.97,-53.770238,,-53.623514,-53.916962,,,,
73.01245,-426.08,-54.140476,,-53.993752,-54.2872,,,,
73.3698,-430.7,-54.690476,,-54.543752,-54.8372,,,,
73.7399,-431.23,-54.753571,,-54.606848,-54.900295,,,,
74.10755,-430.37,-54.65119,,-54.504467,-54.797914,,,,
74.47135,-429.55,-54.553571,,-54.406848,-54.700295,,,,
74.8244,-425.94,-54.12381,,-53.977086,-54.270533,,,,
75.17775,-430.18,-54.628571,,-54.481848,-54.775295,,,,
75.5373,-428.44,-54.421429,,-54.274705,-54.568152,,,,
75.8905,-427.48,-54.307143,,-54.160419,-54.453867,,,,
76.23185,-423.49,-53.832143,,-53.685419,-53.978867,,,,
76.5757,-426.17,-54.15119,,-54.004467,-54.297914,,,,
76.91575,-421.66,-53.614286,,-53.467562,-53.76101,,,,
77.24225,-421.75,-53.625,,-53.478276,-53.771724,,,,
77.5695,-420.89,-53.522619,,-53.375895,-53.669343,,,,
77.8943,-420.97,-53.532143,,-53.385419,-53.678867,,,,
78.21565,-418.95,-53.291667,,-53.144943,-53.438391,,,,
78.54015,-421.57,-53.603571,,-53.456848,-53.750295,,,,
78.8649,-419.69,-53.379762,,-53.233038,-53.526486,,,,
79.17865,-416.01,-52.941667,,-52.794943,-53.088391,,,,
79.48465,-415.48,-52.878571,,-52.731848,-53.025295,,,,
79.78575,-413.18,-52.604762,,-52.458038,-52.751486,,,,
80.08575,-414.9,-52.809524,,-52.6628,-52.956248,,,,
80.3826,-411.5,-52.404762,,-52.258038,-52.551486,,,,
80.67285,-410,-52.22619,,-52.079467,-52.372914,,,,
80.96535,-412.04,-52.469048,,-52.322324,-52.615772,,,,
81.2594,-410.35,-52.267857,,-52.121133,-52.414581,,,,
81.55795,-412.31,-52.50119,,-52.354467,-52.647914,,,,
81.8629,-413.74,-52.671429,,-52.524705,-52.818152,,,,
82.1713,-414.84,-52.802381,,-52.655657,-52.949105,,,,
82.48865,-417.42,-53.109524,,-52.9628,-53.256248,,,,
82.8108,-416.03,-52.944048,,-52.797324,-53.090772,,,,
83.14165,-419.54,-53.361905,,-53.215181,-53.508629,,,,
83.48455,-420.22,-53.442857,,-53.296133,-53.589581,,,,
